PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP CODE,PRICE,BEDS,BATHS,SQ. FT,YEAR BUILT
Single Family Residential,8430 Winnetka Ave #17,Winnetka,CA,91306,585000,2,2,1482,1979
Multi-Family (2-4 Unit),1122 S Citrus Ave,Los Angeles,CA,90019,2295000,6,4,2985,1926
Townhouse,3832 Bentley Ave #4,Culver City,CA,90232,1489000,3,2.5,1718,2023
Single Family Residential,3607 Green Vista Dr,Encino,CA,91436,3190000,8,5.5,4267,1962
Single Family Residential,1160 San Ysidro Dr,Beverly Hills,CA,90210,18950000,6,8.5,9000,2019
Multi-Family (2-4 Unit),3741 Maple Ave,Los Angeles,CA,90011,825000,16,16,3410,1913
Multi-Family (2-4 Unit),1325 Appleton Way,Venice,CA,90291,2500000,5,2,1888,1951
Single Family Residential,3123 Oakhurst Ave,Los Angeles,CA,90034,1499000,3,2,1123,1947
Single Family Residential,14124 W Monroe Pl,Van Nuys,CA,91405,849500,3,4,2085,2019
Single Family Residential,2278 Manning Ave,Los Angeles,CA,90064,1299999,3,2,1381,1925
Multi-Family (5+ Unit),945 W 62nd Pl,Los Angeles,CA,90044,1600000,13,8,4096,1925
Condo/Co-op,702 S Serrano Ave #203,Los Angeles,CA,90005,945000,3,2.5,1460,2007
Multi-Family (2-4 Unit),3141 S Halm Ave,Los Angeles,CA,90034,3500000,10,13,4427,2023
Single Family Residential,1602 W Plaza Del Amo,Torrance,CA,90501,826074,3,2.5,1447,2023
Single Family Residential,1345 W 218th St,Torrance,CA,90501,699000,2,1,764,1941
Multi-Family (2-4 Unit),621 Brittania St,Los Angeles,CA,90033,1198000,6,5,2362,1923
Multi-Family (2-4 Unit),10222 S Van Ness Ave,Los Angeles,CA,90047,849900,4,2,1808,1947
Single Family Residential,6601 Gerald Ave,Lake Balboa,CA,91406,725000,3,1,1124,1950
Single Family Residential,6740 Amigo Ave,Reseda,CA,91335,1190000,3,3,1593,1954
Townhouse,11744 Moorpark St Unit I,Studio City,CA,91604,650000,2,1.5,1056,1974
Single Family Residential,17346 Leadwell St,Lake Balboa,CA,91406,789000,2,1,1162,1949
Single Family Residential,12520 Rubens Ave,Los Angeles,CA,90066,1275000,3,2,1135,1949
Single Family Residential,27507 S Skylily Way,San Pedro,CA,90732,1465443,5,3,2542,2023
Single Family Residential,2406 Glover Pl,Los Angeles,CA,90031,995000,2,3,1120,2023
Single Family Residential,2404 Glover Pl,Los Angeles,CA,90031,1195000,3,2,1182,1929
Condo/Co-op,420 S San Pedro St #104,Los Angeles,CA,90013,899000,1,1,2150,1922
Condo/Co-op,7131 Farralone Ave #35,Canoga Park,CA,91303,475000,2,1,868,1976
Single Family Residential,2521 Kelton Ave,Los Angeles,CA,90064,1690000,2,1,1104,1948
Single Family Residential,640 W Pine Ave,El Segundo,CA,90245,1800000,3,2.5,1889,1986
Multi-Family (2-4 Unit),2115 W 102nd St,Los Angeles,CA,90047,825000,4,2,1794,1947
Multi-Family (2-4 Unit),3408 Folsom St,Los Angeles,CA,90063,1200000,5,4,2840,1920
Single Family Residential,4912 Llano Dr,Woodland Hills,CA,91364,1500000,3,3,2674,1977
Single Family Residential,7537 Maie Ave,Los Angeles,CA,90001,530000,2,1,1344,1920
Single Family Residential,6505 Shoup Ave,West Hills,CA,91307,1050000,4,2,1970,1959
Single Family Residential,1535 S Carmelina Ave,Los Angeles,CA,90025,1575000,2,2,1288,1927
Single Family Residential,12934 Strathern St,North Hollywood,CA,91605,698000,3,2,1692,1964
Condo/Co-op,933 Hilgard Ave #202,Los Angeles,CA,90024,525000,1,1,754,1958
Single Family Residential,1346 W 221st St,Torrance,CA,90501,939000,5,2,2261,1963
Single Family Residential,13939 Burton St,Panorama City,CA,91402,699000,3,1,1040,1950
Single Family Residential,13033 Kamloops St,Pacoima,CA,91331,719950,3,2,1112,1942
Multi-Family (2-4 Unit),2125 Las Colinas Ave,Los Angeles,CA,90041,2750000,10,7,4345,1925
Single Family Residential,1617 N Kings Rd,Los Angeles,CA,90069,7500000,5,5.5,4725,1936
Single Family Residential,1310 Poindexter St,Los Angeles,CA,90044,625000,3,2,1209,1949
Single Family Residential,235 W 60th St,Los Angeles,CA,90003,649900,4,2,1500,1910
Single Family Residential,8003 Bell Crest Dr,Los Angeles,CA,90045,3499000,4,5,4129,2006
Condo/Co-op,310 Tahiti Way #216,Marina Del Rey,CA,90292,999000,2,2,1633,1979
Single Family Residential,6211 W 78th St,Los Angeles,CA,90045,1399000,4,2,2214,1948
Multi-Family (2-4 Unit),240 S Tower Dr,Beverly Hills,CA,90211,2499000,6,4,4343,1929
Mobile/Manufactured Home,15455 Glenoaks Blvd #450,Sylmar,CA,91342,300000,3,2,1344,1987
Single Family Residential,3227 Chadwick Dr,Los Angeles,CA,90032,650000,2,1,732,1918
Condo/Co-op,2929 Waverly Dr #108,Los Angeles,CA,90039,597000,1,1,880,1973
Single Family Residential,1205 W 88th St,Los Angeles,CA,90044,635999,3,2,1092,1922
Condo/Co-op,5700 Etiwanda Ave,Tarzana,CA,91356,325000,2,1,855,1973
Multi-Family (2-4 Unit),1215--1217 N Avenue 56,Los Angeles,CA,90042,999999,5,3,1878,1921
Single Family Residential,4373 Scandia Way,Los Angeles,CA,90065,999000,2,1,770,1949
Single Family Residential,2420 Ocean Ave,Venice,CA,90291,1700000,3,3.5,2258,1913
Multi-Family (2-4 Unit),1340 N Wilmington Blvd,Wilmington,CA,90744,575000,4,4,1504,1929
Single Family Residential,10920 Oro Vista Ave,Sunland,CA,91040,799000,2,1.5,888,1946
Single Family Residential,8914 Stanford Ave,Los Angeles,CA,90002,519900,2,2,552,1926
Single Family Residential,1849 66th St,Los Angeles,CA,90047,800000,3,2,1300,1925
Single Family Residential,4740 Sunnyslope Ave,Sherman Oaks,CA,91423,3895000,6,6.5,3977,2023
Single Family Residential,6500 Farralone Ave,Woodland Hills,CA,91303,1199000,4,2.5,2108,1964
Condo/Co-op,645 W 9th St #626,Los Angeles,CA,90015,629000,1,1,1023,2006
Single Family Residential,5410 Murietta Ave,Sherman Oaks,CA,91401,1599000,3,2,1620,1949
Townhouse,13550 Foothill Blvd #17,Sylmar,CA,91342,545000,3,2.5,1348,1990
Single Family Residential,3123 Hyde Park St,Los Angeles,CA,90043,825000,3,2,1147,1922
Multi-Family (2-4 Unit),611 Broadway St,Venice,CA,90291,4995000,7,7,6134,2021
Single Family Residential,18103 Evelyn Ave,Gardena,CA,90248,839000,3,2,1308,1954
Single Family Residential,6226 Scenic Ave,Los Angeles,CA,90068,2595000,4,3.5,2670,1937
Single Family Residential,4191 La Salle Ave,Los Angeles,CA,90062,920000,3,2,1264,1923
Single Family Residential,1716 Micheltorena St,Los Angeles,CA,90026,2795000,4,3.5,3038,2001
Single Family Residential,1191 N Bonnie Beach Pl,Los Angeles,CA,90063,699000,3,2,1064,1941
Single Family Residential,15036 Hartsook St,Sherman Oaks,CA,91403,1450000,3,2.5,1856,1952
Single Family Residential,13916 LA MAIDA St,Sherman Oaks,CA,91423,2149000,4,3.5,2100,1948
Single Family Residential,6938 Comanche Ave,Winnetka,CA,91306,777000,3,2,1202,1953
Multi-Family (2-4 Unit),2117 E 112th St,Los Angeles,CA,90059,635000,4,2,1050,1921
Single Family Residential,20001 Hiawatha St,Chatsworth,CA,91311,2075000,5,4,3250,1968
Multi-Family (5+ Unit),910 S Catalina St,Los Angeles,CA,90006,1997000,16,8,6116,1961
Single Family Residential,4023 W 63rd St,Los Angeles,CA,90043,1075000,3,2,1659,1930
Single Family Residential,7555 Devista Dr,Los Angeles,CA,90046,3210000,3,3,3076,1963
Townhouse,555 Evergreen St #14,Inglewood,CA,90302,399000,2,2.5,1121,1982
Single Family Residential,2104 E 112th St,Los Angeles,CA,90059,560000,4,2,1420,1921
Condo/Co-op,4240 Laurel Canyon Blvd #103,Studio City,CA,91604,1050000,3,2.5,1720,2017
Single Family Residential,21205 De La Osa St,Woodland Hills,CA,91364,1310000,3,3,1803,1948
Single Family Residential,2831 Virginia Rd,Los Angeles,CA,90016,1249000,3,2,1420,1924
Single Family Residential,2586 Lake View Ave,Los Angeles,CA,90039,1599000,3,2,1536,1923
Condo/Co-op,321 S San Vicente Blvd #101,Los Angeles,CA,90048,579000,1,2,941,1976
Single Family Residential,20681 Lemay St,Winnetka,CA,91306,799000,4,2,1380,1956
Single Family Residential,14682 Forest Edge Dr,Sylmar,CA,91342,685000,3,3,1884,2007
Multi-Family (2-4 Unit),5424 S Van Ness Ave,Los Angeles,CA,90062,739000,5,2,1554,1922
Single Family Residential,14942 Camarillo St,Sherman Oaks,CA,91403,1599000,3,2,1601,1950
Multi-Family (2-4 Unit),1202 E 75th St,Los Angeles,CA,90001,725000,4,2,1592,1965
Single Family Residential,7276 Summitrose St,Tujunga,CA,91042,899999,4,2,1476,1924
Multi-Family (2-4 Unit),341 E 91st St,Los Angeles,CA,90003,685000,4,2,1434,1928
Single Family Residential,4562 Totana Dr,Tarzana,CA,91356,2249000,5,3,3090,1966
Townhouse,1412 Dalmatia Dr,San Pedro,CA,90732,650000,3,2.5,1598,1980
Multi-Family (2-4 Unit),1034 Hi Point St,Los Angeles,CA,90035,2995000,8,7,4692,1927
Condo/Co-op,10609 Bloomfield St #306,Toluca Lake,CA,91602,899000,3,2.5,1743,2008
Single Family Residential,12334 Cantura St,Studio City,CA,91604,3450000,4,4,3255,1936
Single Family Residential,6140 Mesa Ave,Los Angeles,CA,90042,1099999,3,2,1082,1922
Townhouse,1 W Century Dr Unit TH A,Los Angeles,CA,90067,14900000,4,6,6020,2010
Condo/Co-op,13020 Pacific Promenade #100,Playa Vista,CA,90094,1299000,3,2,1480,2005
Single Family Residential,1293 Monte Cielo Dr,Beverly Hills,CA,90210,7900000,4,6,7200,2012
Multi-Family (2-4 Unit),230 N Hoover St,Los Angeles,CA,90004,1068000,2,2,1248,1948
Single Family Residential,16654 Kelsloan St,Lake Balboa,CA,91406,1600000,5,3,1956,1951
Condo/Co-op,118 N Flores St,Los Angeles,CA,90048,1450000,2,2,1296,1939
Single Family Residential,5432 Beeler Ave,Woodland Hills,CA,91367,1795000,4,3,2572,1963
Single Family Residential,5530 Sunnyslope Ave,Sherman Oaks,CA,91401,849000,2,1,1111,1948
Single Family Residential,8012 Yarmouth Ave,Reseda,CA,91335,949950,5,3,1192,1954
Multi-Family (2-4 Unit),6669 De Longpre Ave,Los Angeles,CA,90028,1999000,4,3,3380,1926
Single Family Residential,5548 Irondale Ave,Woodland Hills,CA,91367,995000,4,2,1600,1959
Condo/Co-op,20139 Leadwell St #5,Winnetka,CA,91306,539000,2,2,1283,1976
Single Family Residential,19950 Hemmingway St,Winnetka,CA,91306,950000,4,2.5,1982,1966
Single Family Residential,17616 Bessemer St,Encino,CA,91316,2595000,6,6.5,3421,1950
Condo/Co-op,21301 Erwin St #327,Woodland Hills,CA,91367,725000,2,2,1190,2010
Single Family Residential,531 Wilcox Ave,Los Angeles,CA,90004,3995000,4,3.5,3157,1924
Single Family Residential,17335 Tramonto Dr,Pacific Palisades,CA,90272,10700000,5,6.5,7328,2020
Single Family Residential,4649 Sancola Ave,Toluca Lake,CA,91602,2495000,3,3,2264,1939
Condo/Co-op,19545 Sherman Way #29,Reseda,CA,91335,565000,2,2,1319,1977
Single Family Residential,9522 La Canada Way,Shadow Hills,CA,91040,1400000,3,2,2034,1947
Townhouse,7038 De Celis Pl #22,Van Nuys,CA,91406,675000,3,2.5,1304,1984
Single Family Residential,4615 Rubio Ave,Encino,CA,91436,5500000,5,6,5372,2019
Single Family Residential,13007 Chandler Blvd,Sherman Oaks,CA,91401,1349000,4,3,2520,1964
Condo/Co-op,1380 W Capitol Dr #318,San Pedro,CA,90732,530000,2,2,836,1987
Single Family Residential,3600 Multiview Dr,Hollywood Hills,CA,90068,2380000,3,2,2270,1947
Multi-Family (5+ Unit),12769 Matteson Ave,Los Angeles,CA,90066,2549000,14,14,5944,1963
Single Family Residential,3844 Ridgemoor Dr,Studio City,CA,91604,1299000,3,2,1246,1952
Townhouse,19908 Santa Rosa Dr,Porter Ranch,CA,91326,777000,2,2.5,1490,2002
Single Family Residential,10436 Kinnard Ave,Los Angeles,CA,90024,3498000,4,4,3101,1932
Single Family Residential,10806 Paso Robles Ave,Granada Hills,CA,91344,825000,3,2,1410,1953
Condo/Co-op,14833 Sherman Way #2,Van Nuys,CA,91405,435000,2,1.5,837,1986
Single Family Residential,160 N Willaman Dr,Beverly Hills,CA,90211,1995000,2,2,2082,1927
Condo/Co-op,20930 Parthenia St #204,Canoga Park,CA,91304,349000,1,1,646,1976
Single Family Residential,18939 Dearborn St,Northridge,CA,91324,999950,4,3,2355,1978
Condo/Co-op,21550 Burbank Blvd #215,Woodland Hills,CA,91367,419000,1,1,610,1987
Condo/Co-op,14300 Terra Bella St #12,Panorama City,CA,91402,660000,3,3,1680,1990
Single Family Residential,11400 Eby Canyon Rd,Sunland,CA,91040,1190000,3,2,1600,1965
Single Family Residential,11156 Blix St,West Toluca Lake,CA,91602,1599000,4,2,1791,1934
Single Family Residential,7052 Colbath Ave,Van Nuys,CA,91405,1138669,3,2,2411,1953
Single Family Residential,1021 Larker Ave,Los Angeles,CA,90042,1375000,3,3,2095,1961
Townhouse,6855 Maynard Ave,West Hills,CA,91307,649000,4,2,1410,1974
Single Family Residential,4533 Grimes Pl,Encino,CA,91316,3099000,5,6,6270,2008
Condo/Co-op,333 Westminster Ave #304,Los Angeles,CA,90020,885000,2,3,1552,1991
Single Family Residential,7914 Ledge Ave,Sun Valley,CA,91352,1199000,4,2,1658,1950
Single Family Residential,15963 Valley Wood Rd,Sherman Oaks,CA,91403,1849000,3,2,2111,1956
Single Family Residential,1156 W 56th St,Los Angeles,CA,90037,760000,3,3,2064,1925
Single Family Residential,3454 Sabina St,Los Angeles,CA,90023,1190000,3,1.5,4104,1911
Multi-Family (5+ Unit),515 S Kingsley Dr,Los Angeles,CA,90020,3350000,1,16,12516,1959
Single Family Residential,5900 Nita Ave,Woodland Hills,CA,91367,2175000,4,3.5,2514,1960
Townhouse,20950 Oxnard St #60,Woodland Hills,CA,91367,849950,2,3,1930,1986
Condo/Co-op,234 S Gale Dr #103,Beverly Hills,CA,90211,999000,2,2,1494,1989
Multi-Family (2-4 Unit),759 S Ford Blvd,Los Angeles,CA,90022,1150000,4,4,3224,1927
Single Family Residential,2016 Navy St,Santa Monica,CA,90405,3995000,5,5,4375,1991
Condo/Co-op,7001 S La Cienega Blvd #210,Los Angeles,CA,90045,545000,2,2,925,1985
Multi-Family (5+ Unit),501 S Kingsley Dr,Los Angeles,CA,90020,4750000,1,22,11274,1956
Single Family Residential,4755 White Oak Pl,Encino,CA,91316,3299000,4,4.5,4000,1952
Multi-Family (5+ Unit),1526 Bay View Ave,Wilmington,CA,90744,1212500,10,10,3680,1931
Multi-Family (2-4 Unit),3846 W 58th Pl,Los Angeles,CA,90043,1135000,5,3,2002,1923
Multi-Family (2-4 Unit),11233 Victory Blvd,North Hollywood,CA,91606,1199990,3,3,1859,1950
Condo/Co-op,5211 Yarmouth Ave #12,Encino,CA,91316,730000,2,2.5,1685,1973
Townhouse,20216 Roscoe Blvd #6,Winnetka,CA,91306,500000,2,2,1127,1980
Condo/Co-op,13040 Dronfield Ave #20,Sylmar,CA,91342,230000,1,1,595,1964
Single Family Residential,4747 Ambrose Ave,Los Angeles,CA,90027,3395000,4,4,2880,2023
Single Family Residential,13465 Azores Ave,Sylmar,CA,91342,1088000,3,2.5,1773,1999
Single Family Residential,7127 Knowlton Pl,Los Angeles,CA,90045,1295000,4,2,1466,1951
Single Family Residential,245 Windward Ave,Venice,CA,90291,1750000,4,2.5,1332,1921
Multi-Family (5+ Unit),1001 Hyperion Ave,Los Angeles,CA,90029,5100000,12,16,8808,1924
Single Family Residential,2036 San Ysidro Dr,Beverly Hills,CA,90210,2895000,5,3,3204,1972
Single Family Residential,10204 Vassar Ave,Chatsworth,CA,91311,769000,3,1.5,1245,1952
Single Family Residential,213 Howland Canal,Venice,CA,90291,7950000,3,3.5,3050,2002
Single Family Residential,1463 S Crescent Heights Blvd,Los Angeles,CA,90035,1579000,3,2,1750,1931
Single Family Residential,5550 Fallbrook Ave,Woodland Hills,CA,91367,999000,2,1,936,1953
Condo/Co-op,18645 Hatteras St #162,Tarzana,CA,91356,449500,2,1,830,1973
Single Family Residential,24142 Califa St,Woodland Hills,CA,91367,1350000,4,2,2016,1964
Single Family Residential,22701 Strathern St,West Hills,CA,91304,879900,4,2,1651,1965
Condo/Co-op,6700 Hillpark Dr #203,Los Angeles,CA,90068,700000,2,2,1154,1966
Single Family Residential,9828 natick Ave,North Hills,CA,91343,745000,3,2,1231,1955
Single Family Residential,3940 Oeste Ave,Studio City,CA,91604,4700000,5,4.5,5011,2000
Single Family Residential,8819 Evanview Dr,Los Angeles,CA,90069,2199000,2,2,2107,1949
Single Family Residential,4250 W Mcfarlane Ave,Burbank,CA,91505,1000111,4,2,2046,1936
Multi-Family (5+ Unit),16310 S Ainsworth St,Gardena,CA,90247,1999000,18,14,8302,1958
Single Family Residential,10783 Wellworth Ave,Los Angeles,CA,90024,3195000,4,4.5,2637,1933
Single Family Residential,21040 Baltar St,Canoga Park,CA,91304,749999,4,2,1553,1957
Condo/Co-op,22100 Burbank Blvd Unit 128c,Woodland Hills,CA,91367,489999,2,2,883,1979
Townhouse,14915 Hamlin St,Van Nuys,CA,91411,649000,3,3,1620,1965
Single Family Residential,655 Las Lomas Ave,Pacific Palisades,CA,90272,2095000,3,3,1695,1950
Multi-Family (2-4 Unit),341 N Genesee Ave,Los Angeles,CA,90036,2350000,8,4,5579,1927
Single Family Residential,10710 Chalon Rd,Los Angeles,CA,90077,23500000,8,12,21000,1950
Single Family Residential,8401 Fullbright Ave,Winnetka,CA,91306,861000,3,3,1375,1954
Multi-Family (2-4 Unit),1906 Pennsylvania Ave,Los Angeles,CA,90033,785000,4,3,1719,1902
Single Family Residential,17009 Magnolia Blvd,Encino,CA,91316,4995000,6,4,4154,1939
Single Family Residential,20121 Phaeton Dr,Woodland Hills,CA,91364,3195000,6,4,3792,1968
Condo/Co-op,629 Traction Ave #255,Los Angeles,CA,90013,858000,2,2,1240,2007
Multi-Family (2-4 Unit),2324 W Washington Blvd,Los Angeles,CA,90018,1599000,8,4,5802,1917
Single Family Residential,5770 Valley Oak Dr,Los Angeles,CA,90068,4995000,4,4,6366,1919
Single Family Residential,7244 Jumilla Ave,Winnetka,CA,91306,749000,3,1.5,1201,1959
Multi-Family (2-4 Unit),3716 Dozier St,Los Angeles,CA,90063,820000,7,4,2447,1908
Single Family Residential,22470 Domingo Rd,Woodland Hills,CA,91364,1149000,3,2,1436,1957
Single Family Residential,632 E 95th St,Los Angeles,CA,90002,625000,3,2,1056,1924
Single Family Residential,6308 Calvin Ave,Tarzana,CA,91335,1049000,4,2,1584,1955
Single Family Residential,3319 Alice St,Los Angeles,CA,90065,1199000,4,3,1569,1918
Single Family Residential,11814 Monogram Ave,Granada Hills,CA,91344,999999,3,2,1800,1961
Single Family Residential,3018 Tatum St,Los Angeles,CA,90065,899000,2,2,891,1922
Condo/Co-op,2121 James M Wood Blvd #209,Los Angeles,CA,90006,334000,1,1,460,1923
Mobile/Manufactured Home,20315 Denker Ave,Torrance,CA,90501,110000,1,1,480,2010
Single Family Residential,7332 Beck Ave,North Hollywood,CA,91605,699000,3,1,992,1947
Single Family Residential,414 W Santa Catalina Rd,Palm Springs,CA,92262,1033000,4,3,1945,2004
Single Family Residential,985 E El Cid,Palm Springs,CA,92262,1899000,6,3,3300,1977
Single Family Residential,1920 N San Gorgonio Rd,Palm Springs,CA,92262,1325000,3,2,1563,1990
Single Family Residential,2880 E San Angelo Rd,Palm Springs,CA,92262,1325000,4,3,2166,1991
Condo/Co-op,2501 N Indian Canyon Dr #607,Palm Springs,CA,92262,475000,1,2,1083,1983
Condo/Co-op,130 W Racquet Club Rd #412,Palm Springs,CA,92262,660000,2,2,1362,1975
Condo/Co-op,550 N Villa Ct #117,Palm Springs,CA,92262,184999,1,1,589,1981
Condo/Co-op,414 Bradshaw Ln #64,Palm Springs,CA,92262,340000,2,2,782,1983
Condo/Co-op,2807 Sunflower Loop S,Palm Springs,CA,92262,475000,2,2,1068,1984
Single Family Residential,1172 E Deepak Rd,Palm Springs,CA,92262,2150000,4,4.5,3162,1989
Condo/Co-op,100 N Cerritos Dr #7,Palm Springs,CA,92262,619000,2,2,1131,2014
Single Family Residential,1217 Celadon St,Palm Springs,CA,92262,1195000,3,2.5,1984,2018
Condo/Co-op,2687 N Whitewater Club Dr,Palm Springs,CA,92262,485000,2,2,1538,1982
Condo/Co-op,487 N Calle Rolph,Palm Springs,CA,92262,575000,3,2.5,1650,1979
Single Family Residential,2033 E Calle Lileta,Palm Springs,CA,92262,1325000,3,3,2188,1958
Single Family Residential,277 W Crestview Dr & 324 W Overlook Rd,Palm Springs,CA,92264,7250000,8,8.5,6260,1923
Condo/Co-op,2822 N Auburn Ct #204,Palm Springs,CA,92262,210000,1,1,589,1982
Condo/Co-op,1900 S Palm Canyon Dr #24,Palm Springs,CA,92264,379900,2,2,1024,1972
Single Family Residential,312 N Glen Cir,Palm Springs,CA,92262,1448800,4,3,1985,1959
Single Family Residential,602 Axis Way,Palm Springs,CA,92262,1375000,3,3.5,2803,2014
Mobile/Manufactured Home,167 Vista De Oeste,Palm Springs,CA,92264,250000,2,2,1358,1976
Condo/Co-op,18 Lakeview Cir #18,Cathedral City,CA,92234,299000,2,1.5,1152,1981
Condo/Co-op,1828 Sandcliff Rd,Palm Springs,CA,92264,695000,2,2,1943,1966
Single Family Residential,3045 E Baristo Rd,Palm Springs,CA,92262,1495000,3,2,1722,1950
Single Family Residential,2279 N Blando Rd,Palm Springs,CA,92262,1199000,4,3,2031,1962
Single Family Residential,235 N Airlane Dr,Palm Springs,CA,92262,1395000,3,2,1636,1958
Condo/Co-op,5972 Paradise Plz,Palm Springs,CA,92264,425000,2,2,1168,1977
Single Family Residential,570 S Fern Canyon Dr,Palm Springs,CA,92264,2900000,3,3.5,3578,1971
Condo/Co-op,2981 Calle Arandas,Palm Springs,CA,92264,495000,2,2,1512,1981
Single Family Residential,4306 Lumina Way,Palm Springs,CA,92262,1355000,2,2.5,2559,2022
Single Family Residential,1550 E Granvia Valmonte,Palm Springs,CA,92262,649900,2,2,1100,1946
Condo/Co-op,238 Canyon Cir S,Palm Springs,CA,92264,659000,2,2,1678,1980
Single Family Residential,1834 N Hidalgo Way,Palm Springs,CA,92262,1295000,4,3,1995,1978
Condo/Co-op,2810 N Arcadia Ct Unit A212,Palm Springs,CA,92262,198000,1,1,589,1982
Single Family Residential,540 N Phillips Rd,Palm Springs,CA,92262,2500000,5,4,2378,1975
Single Family Residential,2703 Paragon Loop,Palm Springs,CA,92262,995000,4,4,2038,2020
Condo/Co-op,1881 S Araby Dr #15,Palm Springs,CA,92264,395000,1,1,759,1959
